Année;Code INSEE région;Région;Production nucléaire (GWh);Production thermique (GWh);Production hydraulique (GWh);Production éolienne (GWh);Production solaire (GWh);Production bioénergies (GWh)
2008;53;Bretagne;;340.0;575.0;548.0;1.1;117.0
2009;11;Île-de-France;;5582.0;45.0;;2.6;1005.0
2009;76;Occitanie;19796.0;744.0;11360.0;1421.0;54.9;520.0
2012;76;Occitanie;15707.0;558.0;10435.0;2072.5;894.6;623.0
2016;94;Corse;;863.0;471.0;33.0;157.0;9.0
2017;53;Bretagne;;756.0;579.0;1540.0;207.0;358.0
2019;76;Occitanie;16952.0;308.0;9956.0;3735.0;2581.0;762.0
2021;32;Hauts-de-France;29825.0;9263.0;17.0;10362.0;280.0;969.0
2021;94;Corse;;931.0;537.0;12.0;256.0;4.0
2022;76;Occitanie;12144.0;302.0;9114.0;3124.0;3905.0;803.0
2014;24;Centre-Val de Loire;77871.0;267.0;139.0;1626.0;198.0;416.0
2016;52;Pays de la Loire;;4021.0;19.0;1262.0;441.0;333.0
2017;76;Occitanie;17768.0;268.0;9419.0;3045.0;2076.0;758.0
2024;52;Pays de la Loire;;1354.0;29.0;3859.0;1481.0;505.0
2012;52;Pays de la Loire;;6696.0;16.0;885.0;277.8;230.0
2014;44;Grand Est;85852.0;6115.0;8722.0;3977.0;461.0;526.0
2015;53;Bretagne;;413.0;571.0;1651.0;187.0;311.0
2017;94;Corse;;1007.0;383.0;22.0;182.0;8.0
2021;24;Centre-Val de Loire;68678.0;391.0;129.0;2930.0;591.0;525.0
2023;24;Centre-Val de Loire;56770.0;294.0;105.0;3727.0;1098.0;466.0
2024;24;Centre-Val de Loire;70541.0;204.0;201.0;3189.0;1226.0;516.0
2014;52;Pays de la Loire;;3592.0;24.0;1072.0;368.0;355.0
2018;32;Hauts-de-France;34567.0;8899.0;13.0;7144.0;145.0;1043.0
2020;76;Occitanie;16219.0;302.0;11425.0;3612.0;2699.0;706.0
2024;11;Île-de-France;;1268.0;56.0;319.0;336.0;1202.0
2017;52;Pays de la Loire;;6743.0;11.0;1349.0;480.0;382.0
2019;27;Bourgogne-Franche-Comté;;747.0;879.0;1770.0;370.0;285.0
2021;93;Provence-Alpes-Côte d'Azur;;5676.0;8607.0;201.0;2127.0;728.0
2022;52;Pays de la Loire;;3265.0;19.0;2888.0;1022.0;498.0
2024;75;Nouvelle-Aquitaine;38621.0;678.0;5658.0;3312.0;5806.0;1557.0
2024;76;Occitanie;16656.0;189.0;12897.0;3701.0;5053.0;920.0
2010;28;Normandie;65518.0;7391.0;136.0;578.0;10.8;349.0
2011;75;Nouvelle-Aquitaine;45247.0;1169.7;2278.9;346.8;332.9;1027.0
2017;27;Bourgogne-Franche-Comté;;693.0;641.0;1102.0;235.0;192.0
2019;53;Bretagne;;890.0;592.0;1939.0;251.0;401.0
2020;28;Normandie;42033.0;2937.0;104.0;2046.0;202.0;512.0
2020;44;Grand Est;63387.0;6742.0;7729.0;8749.0;656.0;1046.0
2020;53;Bretagne;;931.0;618.0;2241.0;261.0;435.0
2022;93;Provence-Alpes-Côte d'Azur;;8946.0;5534.0;177.0;2655.0;1076.0
2023;28;Normandie;54272.0;2146.0;118.0;2641.0;326.0;736.0
2023;84;Auvergne-Rhône-Alpes;83607.0;1407.0;26678.0;1479.0;2530.0;980.0
2024;28;Normandie;60525.0;2132.0;120.0;3437.0;374.0;732.0
2017;93;Provence-Alpes-Côte d'Azur;;9546.0;7673.0;118.0;1527.0;1137.0
2018;84;Auvergne-Rhône-Alpes;80199.0;1499.0;29213.0;1082.0;1032.0;1000.0
2021;84;Auvergne-Rhône-Alpes;84320.0;2239.0;27534.0;1350.0;1473.0;980.0
2022;32;Hauts-de-France;28185.0;10995.0;12.0;10981.0;497.0;932.0
2012;94;Corse;;1000.0;336.0;27.9;101.3;8.0
2013;94;Corse;;828.6;598.0;20.9;113.4;11.4
2016;28;Normandie;57283.0;5068.0;131.0;1184.0;126.0;440.0
2016;75;Nouvelle-Aquitaine;42200.0;877.0;4666.0;924.0;2313.0;1362.0
2019;11;Île-de-France;;1675.0;62.0;185.0;100.0;1121.0
2020;94;Corse;;796.0;500.0;11.0;238.0;6.0
2023;11;Île-de-France;;1621.0;66.0;405.0;324.0;1146.0
2023;44;Grand Est;55303.0;8191.0;7800.0;11251.0;1438.0;1280.0
2010;93;Provence-Alpes-Côte d'Azur;;7358.0;11139.0;120.0;87.7;436.0
2011;24;Centre-Val de Loire;78880.5;729.9;56.3;1216.4;53.3;227.0
2012;32;Hauts-de-France;31786.0;7143.0;13.0;2764.3;104.4;560.0
2020;24;Centre-Val de Loire;65754.0;409.0;127.0;3117.0;416.0;522.0
2022;44;Grand Est;37278.0;11281.0;7360.0;8266.0;1259.0;1297.0
2012;44;Grand Est;76536.0;12260.0;9673.0;3517.4;319.8;346.0
